wellId,date,region,oilProduction,gasProduction,waterProduction,runtime,chemicalCost,maintenanceCost
WELL-001,2022-01,SCOOP,1145.0000,4266.0000,504.0000,29.1000,6245.0000,3637.0000
WELL-001,2022-02,SCOOP,1129.0000,4521.0000,347.0000,29.2000,5111.0000,2868.0000
WELL-001,2022-03,SCOOP,995.0000,3824.0000,562.0000,30.0000,7307.0000,5894.0000
WELL-001,2022-04,SCOOP,1042.0000,3883.0000,603.0000,0.0000,6219.0000,4144.0000
WELL-001,2022-05,SCOOP,1000.0000,4029.0000,565.0000,31.0000,6927.0000,4467.0000
WELL-001,2022-06,SCOOP,825.0000,3774.0000,338.0000,30.8000,7419.0000,4918.0000
WELL-001,2022-07,SCOOP,881.0000,3366.0000,399.0000,28.3000,5932.0000,4278.0000
WELL-001,2022-08,SCOOP,748.0000,3434.0000,250.0000,31.0000,5898.0000,5005.0000
WELL-001,2022-09,SCOOP,791.0000,2847.0000,352.0000,35.0000,6177.0000,2614.0000
WELL-001,2022-10,SCOOP,662.0000,3184.0000,437.0000,29.5000,5564.0000,3539.0000
WELL-001,2022-11,SCOOP,692.0000,2900.0000,257.0000,29.1000,6655.0000,3437.0000
WELL-001,2022-12,SCOOP,624.0000,2404.0000,224.0000,30.3000,5309.0000,5986.0000
WELL-001,2023-01,SCOOP,590.0000,2461.0000,364.0000,29.4000,5485.0000,2200.0000
WELL-001,2023-02,SCOOP,631.0000,2577.0000,243.0000,30.7000,6191.0000,3008.0000
WELL-001,2023-03,SCOOP,603.0000,2227.0000,254.0000,28.1000,7706.0000,3301.0000
WELL-001,2023-04,SCOOP,572.0000,2168.0000,261.0000,28.8000,7885.0000,3526.0000
WELL-001,2023-05,SCOOP,527.0000,1950.0000,228.0000,29.6000,5325.0000,5399.0000
WELL-001,2023-06,SCOOP,498.0000,2013.0000,181.0000,30.2000,6507.0000,3290.0000
WELL-001,2023-07,SCOOP,448.0000,1804.0000,272.0000,30.7000,6004.0000,5858.0000
WELL-001,2023-08,SCOOP,421.0000,1892.0000,196.0000,30.0000,5599.0000,3387.0000
WELL-001,2023-09,SCOOP,444.0000,1682.0000,235.0000,29.5000,6407.0000,2363.0000
WELL-001,2023-10,SCOOP,379.0000,1541.0000,186.0000,28.6000,6232.0000,3566.0000
WELL-001,2023-11,SCOOP,349.0000,1386.0000,215.0000,28.7000,5869.0000,2373.0000
WELL-001,2023-12,SCOOP,367.0000,1459.0000,223.0000,29.3000,5636.0000,2402.0000
WELL-002,2022-01,Merge,682.0000,2298.0000,473.0000,29.9000,5201.0000,2299.0000
WELL-002,2022-02,Merge,638.0000,2160.0000,242.0000,28.2000,5723.0000,3053.0000
WELL-002,2022-03,Merge,538.0000,1871.0000,330.0000,30.0000,5095.0000,5762.0000
WELL-002,2022-04,Merge,598.0000,1916.0000,187.0000,28.4000,7186.0000,5005.0000
WELL-002,2022-05,Merge,494.0000,1799.0000,277.0000,28.7000,5988.0000,4731.0000
WELL-002,2022-06,Merge,489.0000,1641.0000,148.0000,29.1000,7155.0000,5605.0000
WELL-002,2022-07,Merge,454.0000,1624.0000,205.0000,29.2000,5439.0000,3702.0000
WELL-002,2022-08,Merge,403.0000,1482.0000,228.0000,30.0000,5649.0000,3523.0000
WELL-002,2022-09,Merge,399.0000,1506.0000,137.0000,29.0000,5944.0000,5596.0000
WELL-002,2022-10,Merge,394.0000,1208.0000,178.0000,29.2000,7898.0000,5188.0000
WELL-002,2022-11,Merge,374.0000,1369.0000,233.0000,29.0000,5411.0000,4383.0000
WELL-002,2022-12,Merge,335.0000,1306.0000,145.0000,28.5000,5176.0000,3931.0000
WELL-002,2023-01,Merge,367.0000,1195.0000,192.0000,28.1000,7786.0000,2211.0000
WELL-002,2023-02,Merge,311.0000,1075.0000,134.0000,31.0000,6033.0000,3753.0000
WELL-002,2023-03,Merge,282.0000,1123.0000,160.0000,29.9000,6456.0000,4325.0000
WELL-002,2023-04,Merge,309.0000,1034.0000,121.0000,30.5000,6495.0000,3274.0000
WELL-002,2023-05,Merge,289.0000,915.0000,158.0000,29.2000,7857.0000,2616.0000
WELL-002,2023-06,Merge,278.0000,941.0000,116.0000,30.2000,7228.0000,5125.0000
WELL-002,2023-07,Merge,228.0000,877.0000,119.0000,28.2000,7614.0000,4971.0000
WELL-002,2023-08,Merge,253.0000,776.0000,155.0000,30.4000,7477.0000,5672.0000
WELL-002,2023-09,Merge,218.0000,810.0000,139.0000,29.9000,6897.0000,5321.0000
WELL-002,2023-10,Merge,202.0000,682.0000,140.0000,29.1000,6017.0000,2629.0000
WELL-002,2023-11,Merge,225.0000,741.0000,104.0000,30.5000,5884.0000,4074.0000
WELL-002,2023-12,Merge,200.0000,693.0000,93.0000,28.8000,7672.0000,5825.0000
WELL-003,2022-01,Merge,571.0000,5718.0000,374.0000,30.5000,5305.0000,5400.0000
WELL-003,2022-02,Merge,571.0000,6066.0000,293.0000,29.8000,7414.0000,4654.0000
WELL-003,2022-03,Merge,484.0000,5027.0000,245.0000,29.2000,5081.0000,4294.0000
WELL-003,2022-04,Merge,439.0000,5327.0000,222.0000,29.9000,7289.0000,3816.0000
WELL-003,2022-05,Merge,443.0000,4950.0000,201.0000,30.4000,7032.0000,2348.0000
WELL-003,2022-06,Merge,420.0000,4685.0000,181.0000,28.8000,7914.0000,5758.0000
WELL-003,2022-07,Merge,385.0000,4716.0000,138.0000,28.4000,5892.0000,3582.0000
WELL-003,2022-08,Merge,377.0000,4531.0000,238.0000,30.8000,5861.0000,4552.0000
WELL-003,2022-09,Merge,388.0000,4009.0000,126.0000,28.2000,7767.0000,5621.0000
WELL-003,2022-10,Merge,326.0000,3962.0000,101.0000,29.6000,7107.0000,5323.0000
WELL-003,2022-11,Merge,357.0000,3362.0000,198.0000,29.4000,5691.0000,2221.0000
WELL-003,2022-12,Merge,314.0000,3366.0000,208.0000,30.6000,7867.0000,2214.0000
